zac,zac_nazov,kon,kon_nazov,sekundy,km
27,"Bobrovec,,rázc.",21,"Bobrovec,,Huraj",54,0.2
27,"Bobrovec,,rázc.",22,"Bobrovec,,OcÚ",81,1
27,"Bobrovec,,rázc.",24,"Bobrovec,,Škorupovo",108,2
27,"Bobrovec,,rázc.",183,"Pavlova Ves,,kult.dom",201,3
29,"Bobrovník,Hliník,rázc.",32,"Bobrovník,,rázc.",63,1
29,"Bobrovník,Hliník,rázc.",198,"Prosiek,,otoč.",351,5
29,"Bobrovník,Hliník,rázc.",199,"Prosiek,,rázc.",122,2
30,"Bobrovník,,Jednota otoč.",31,"Bobrovník,,ŠM bytovky",119,2
30,"Bobrovník,,Jednota otoč.",32,"Bobrovník,,rázc.",135,1
31,"Bobrovník,,ŠM bytovky",30,"Bobrovník,,Jednota otoč.",189,2
31,"Bobrovník,,ŠM bytovky",32,"Bobrovník,,rázc.",68,1
31,"Bobrovník,,ŠM bytovky",33,"Bukovina,,kult.dom",63,1
32,"Bobrovník,,rázc.",29,"Bobrovník,Hliník,rázc.",63,1
32,"Bobrovník,,rázc.",30,"Bobrovník,,Jednota otoč.",119,1
32,"Bobrovník,,rázc.",31,"Bobrovník,,ŠM bytovky",54,1
33,"Bukovina,,kult.dom",31,"Bobrovník,,ŠM bytovky",81,1
33,"Bukovina,,kult.dom",34,"Bukovina,,polesie",65,1
33,"Bukovina,,kult.dom",83,"Lipt.Anna,,garáž SAD",162,2
34,"Bukovina,,polesie",33,"Bukovina,,kult.dom",90,1
34,"Bukovina,,polesie",82,"Lipt.Anna,,Jednota",76,0.2
35,"Demänovská Dolina,,Jasky�?a Slobody",37,"Demänovská Dolina,,Ľadová jasky�?a",158,3
35,"Demänovská Dolina,,Jasky�?a Slobody",38,"Demänovská Dolina,,Lúčky",166,2
36,"Demänovská Dolina,,Jasná",40,"Demänovská Dolina,,Záhradky",212,2
37,"Demänovská Dolina,,Ľadová jasky�?a",35,"Demänovská Dolina,,Jasky�?a Slobody",141,3
37,"Demänovská Dolina,,Ľadová jasky�?a",39,"Demänovská Dolina,,Chaty",104,1
37,"Demänovská Dolina,,Ľadová jasky�?a",41,"Demänovská Dolina,,autocamp.",108,1
38,"Demänovská Dolina,,Lúčky",35,"Demänovská Dolina,,Jasky�?a Slobody",162,2
38,"Demänovská Dolina,,Lúčky",44,"Demänovská Dolina,,Staré koliesko",75,0.2
39,"Demänovská Dolina,,Chaty",41,"Demänovská Dolina,,autocamp.",94,0.2
39,"Demänovská Dolina,,Chaty",454,"Demänovská Dolina,,Wellness hotel Chopok",58,1
40,"Demänovská Dolina,,Záhradky",36,"Demänovská Dolina,,Jasná",287,2
40,"Demänovská Dolina,,Záhradky",44,"Demänovská Dolina,,Staré koliesko",58,1
41,"Demänovská Dolina,,autocamp.",39,"Demänovská Dolina,,Chaty",83,0.2
41,"Demänovská Dolina,,autocamp.",184,"Pavčina Lehota,,Hate",54,0.2
41,"Demänovská Dolina,,autocamp.",185,"Pavčina Lehota,,garáž",194,1
41,"Demänovská Dolina,,autocamp.",252,"Demänovská Dolina,,centr.park.",58,1
42,"Dúbrava,,Dom služ.",43,"Dúbrava,,RaJ Baník",78,0.2
42,"Dúbrava,,Dom služ.",247,"Ľubeľa,,Jednota",108,2
42,"Dúbrava,,Dom služ.",248,"Ľubeľa,,lekáre�?",101,2
42,"Dúbrava,,Dom služ.",249,"Ľubeľa,,ZŠ",270,2
43,"Dúbrava,,RaJ Baník",42,"Dúbrava,,Dom služ.",83,0.2
43,"Dúbrava,,RaJ Baník",45,"Dúbrava,,závod",69,0.2
44,"Demänovská Dolina,,Staré koliesko",38,"Demänovská Dolina,,Lúčky",62,0.2
44,"Demänovská Dolina,,Staré koliesko",40,"Demänovská Dolina,,Záhradky",71,1
45,"Dúbrava,,závod",43,"Dúbrava,,RaJ Baník",76,0.2
45,"Dúbrava,,závod",137,"Dúbrava,,otoč.ŠM",65,1
46,"Galovany,,č.d.1",47,"Galovany,,č.d.51",54,0.2
47,"Galovany,,č.d.51",46,"Galovany,,č.d.1",59,0.2
47,"Galovany,,č.d.51",48,"Galovany,,rázc.",72,1
47,"Galovany,,č.d.51",205,"Svätý Kríž,,Cínovisko",155,2
48,"Galovany,,rázc.",47,"Galovany,,č.d.51",84,1
48,"Galovany,,rázc.",131,"Lipt.Mikuláš,Andice,rázc.",86,2
48,"Galovany,,rázc.",132,"Lipt.Mikuláš,Andice,Háčik",108,2
48,"Galovany,,rázc.",147,"Lipt.Mikuláš,Palúdzka,LAS",270,5
48,"Galovany,,rázc.",205,"Svätý Kríž,,Cínovisko",108,1
48,"Galovany,,rázc.",209,"Svätý Kríž,,rázc.",103,1
49,"Gôtovany,,Benický",50,"Gôtovany,,OcÚ",108,1
49,"Gôtovany,,Benický",53,"Gôtovany,,Vyšné rázc.",81,0.2
50,"Gôtovany,,OcÚ",49,"Gôtovany,,Benický",108,1
50,"Gôtovany,,OcÚ",51,"Gôtovany,,Piatko",86,0.2
50,"Gôtovany,,OcÚ",53,"Gôtovany,,Vyšné rázc.",65,1
51,"Gôtovany,,Piatko",50,"Gôtovany,,OcÚ",100,0.2
53,"Gôtovany,,Vyšné rázc.",49,"Gôtovany,,Benický",81,0.2
53,"Gôtovany,,Vyšné rázc.",50,"Gôtovany,,OcÚ",72,1
53,"Gôtovany,,Vyšné rázc.",54,"Gôtovany,,rázc.",76,0.2
53,"Gôtovany,,Vyšné rázc.",251,"Ľubeľa,,rázc.",135,2
54,"Gôtovany,,rázc.",53,"Gôtovany,,Vyšné rázc.",76,0.2
54,"Gôtovany,,rázc.",209,"Svätý Kríž,,rázc.",123,3
54,"Gôtovany,,rázc.",251,"Ľubeľa,,rázc.",127,2
54,"Gôtovany,,rázc.",253,"Ľubeľa,,Sihotka",61,1
55,"Huty,,Javorinský potok",57,"Huty,,Škumat stred",81,1
55,"Huty,,Javorinský potok",416,"Kvačany,,SSC",729,7
56,"Huty,,Pod skleným vŕškom",57,"Huty,,Škumat stred",108,1
56,"Huty,,Pod skleným vŕškom",58,"Huty,,ZŠ",81,0.2
57,"Huty,,Škumat stred",55,"Huty,,Javorinský potok",108,1
57,"Huty,,Škumat stred",56,"Huty,,Pod skleným vŕškom",135,1
58,"Huty,,ZŠ",56,"Huty,,Pod skleným vŕškom",108,0.2
58,"Huty,,ZŠ",432,"Huty,,Dolinky",135,1
59,"Huty,,rázc.na Malé Borové",60,"Huty,,rázc.na Veľké Borové",54,1
59,"Huty,,rázc.na Malé Borové",170,"Malé Borové,Novoť",108,1
59,"Huty,,rázc.na Malé Borové",432,"Huty,,Dolinky",108,1
60,"Huty,,rázc.na Veľké Borové",59,"Huty,,rázc.na Malé Borové",54,1
60,"Huty,,rázc.na Veľké Borové",218,"Veľké Borové,,Ráztoka",162,2
